GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ArchitectureLogicielle,com.esiea.tp4A.domain,Position,0,7,0,0,0,1,0,1,0,1
ArchitectureLogicielle,com.esiea.tp4A.domain,Position.FixedPosition,62,323,19,37,6,51,17,25,0,11
ArchitectureLogicielle,com.esiea.tp4A.domain,MarsRover,11,0,0,0,4,0,4,0,4,0
ArchitectureLogicielle,com.esiea.tp4A.domain,Direction,0,81,0,4,0,8,0,5,0,3
ArchitectureLogicielle,com.esiea.tp4A.domain,PlanetMap,4,0,0,0,2,0,2,0,2,0
ArchitectureLogicielle,com.esiea.tp4A.jeu,MarsRoverImpl,3,71,1,9,1,14,1,6,0,2
ArchitectureLogicielle,com.esiea.tp4A.jeu,Laser,3,10,0,0,1,7,1,5,1,5
ArchitectureLogicielle,com.esiea.tp4A.jeu,PlanetMapInit,83,26,2,0,12,9,5,4,4,4
ArchitectureLogicielle,com.esiea.tp4A.jeu,Obstacle,15,15,4,0,1,6,3,3,1,3
ArchitectureLogicielle,com.esiea.tp4A.api,JeuGestion,3,0,0,0,1,0,1,0,1,0
ArchitectureLogicielle,com.esiea.tp4A.api,RequestHandler,3,0,0,0,1,0,1,0,1,0
ArchitectureLogicielle,com.esiea.tp4A.api,DataNotFoundException,4,0,0,0,2,0,1,0,1,0
ArchitectureLogicielle,com.esiea.tp4A.api,DataAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ArchitectureLogicielle,com.esiea.tp4A.api,JeuApplication,8,0,0,0,2,0,2,0,2,0
